Date,Order,Year,Temp
23-Jun,adc,2020,
24-Jun,b,2020,
25-Jun,bdz,2020,
26-Jun,c,2020,
27-Jun,cba,2020,
28-Jun,d,2020,
29-Jun,dbb,2020,
30-Jun,dcb,2020,
1-Jul,e,2020,
2-Jul,ebc,2020,
3-Jul,ecc,2020,
4-Jul,edc,2020,
5-Jul,f,2020,
6-Jul,fcd,2020,
7-Jul,fdd,2020,
8-Jul,fed,2020,
9-Jul,fjk,2020,
10-Jul,g,2020,
11-Jul,gde,2020,
12-Jul,gee,2020,
13-Jul,gfe,2020,
14-Jul,h,2020,
15-Jul,hef,2020,
16-Jul,hff,2020,
17-Jul,hgf,2020,
18-Jul,i,2020,
19-Jul,ifg,2020,
20-Jul,igg,2020,
21-Jul,ihg,2020,
22-Jul,j,2020,
23-Jul,jgh,2020,
24-Jul,jhh,2020,
25-Jul,jih,2020,
26-Jul,k,2020,
27-Jul,khi,2020,
28-Jul,kii,2020,
29-Jul,kji,2020,
30-Jul,l,2020,
31-Jul,lij,2020,
1-Aug,ljj,2020,
2-Aug,lkj,2020,
3-Aug,m,2020,
4-Aug,mjk,2020,
5-Aug,mkk,2020,
6-Aug,mlk,2020,
7-Aug,n,2020,3.14
8-Aug,nkl,2020,2.98
9-Aug,nll,2020,2.98
10-Aug,nml,2020,3.08
11-Aug,o,2020,2.93
12-Aug,olm,2020,3.16
13-Aug,omm,2020,3.18
14-Aug,onm,2020,2.90
15-Aug,p,2020,2.93
16-Aug,pmn,2020,3.12
17-Aug,pnn,2020,3.49
18-Aug,pon,2020,3.76
19-Aug,q,2020,3.80
20-Aug,qno,2020,3.66
21-Aug,qoo,2020,3.26
22-Aug,qpo,2020,3.45
23-Aug,r,2020,3.37
24-Aug,rop,2020,3.75
25-Aug,rpp,2020,3.90
26-Aug,rqp,2020,3.72
27-Aug,s,2020,3.66
28-Aug,spq,2020,3.40
29-Aug,sqq,2020,3.43
30-Aug,srq,2020,2.91
31-Aug,t,2020,2.34
1-Sep,tqr,2020,2.58
2-Sep,trr,2020,2.99
3-Sep,tsr,2020,3.10
4-Sep,u,2020,3.39
5-Sep,urs,2020,3.54
6-Sep,uss,2020,3.35
7-Sep,uts,2020,2.86
8-Sep,v,2020,1.27
9-Sep,vst,2020,1.69
10-Sep,vtt,2020,2.04
11-Sep,vut,2020,2.35
12-Sep,w,2020,2.62
13-Sep,wtu,2020,2.84
14-Sep,wuu,2020,2.89
15-Sep,wvu,2020,3.01
16-Sep,x,2020,3.12
17-Sep,xuv,2020,3.15
18-Sep,xvv,2020,3.37
19-Sep,xwv,2020,3.08
20-Sep,xy,2020,2.83
21-Sep,y,2020,2.61
22-Sep,yvw,2020,3.25
21-Jun,a,2021,2.51
22-Jun,acv,2021,2.54
23-Jun,adc,2021,2.57
24-Jun,b,2021,2.60
25-Jun,bdz,2021,2.61
26-Jun,c,2021,2.64
27-Jun,cba,2021,2.69
28-Jun,d,2021,2.78
29-Jun,dbb,2021,2.78
30-Jun,dcb,2021,2.81
1-Jul,e,2021,2.94
2-Jul,ebc,2021,3.06
3-Jul,ecc,2021,3.11
4-Jul,edc,2021,3.20
5-Jul,f,2021,3.19
6-Jul,fcd,2021,3.16
7-Jul,fdd,2021,3.31
8-Jul,fed,2021,3.29
9-Jul,fjk,2021,3.18
10-Jul,g,2021,3.18
11-Jul,gde,2021,3.33
12-Jul,gee,2021,3.56
13-Jul,gfe,2021,3.55
14-Jul,h,2021,3.47
15-Jul,hef,2021,3.53
16-Jul,hff,2021,3.60
17-Jul,hgf,2021,3.66
18-Jul,i,2021,3.69
19-Jul,ifg,2021,4.06
20-Jul,igg,2021,4.15
21-Jul,ihg,2021,4.16
22-Jul,j,2021,4.02
23-Jul,jgh,2021,3.83
24-Jul,jhh,2021,3.79
25-Jul,jih,2021,3.90
26-Jul,k,2021,3.87
27-Jul,khi,2021,4.25
28-Jul,kii,2021,4.65
29-Jul,kji,2021,4.55
30-Jul,l,2021,4.50
31-Jul,lij,2021,4.62
1-Aug,ljj,2021,4.53
2-Aug,lkj,2021,4.51
3-Aug,m,2021,4.21
4-Aug,mjk,2021,4.27
5-Aug,mkk,2021,4.35
6-Aug,mlk,2021,
7-Aug,n,2021,
8-Aug,nkl,2021,
9-Aug,nll,2021,
10-Aug,nml,2021,
11-Aug,o,2021,
12-Aug,olm,2021,
13-Aug,omm,2021,
14-Aug,onm,2021,
15-Aug,p,2021,
16-Aug,pmn,2021,
17-Aug,pnn,2021,
18-Aug,pon,2021,
19-Aug,q,2021,
20-Aug,qno,2021,
21-Aug,qoo,2021,
22-Aug,qpo,2021,
23-Aug,r,2021,
24-Aug,rop,2021,
25-Aug,rpp,2021,
26-Aug,rqp,2021,
27-Aug,s,2021,
28-Aug,spq,2021,
29-Aug,sqq,2021,
30-Aug,srq,2021,
31-Aug,t,2021,
1-Sep,tqr,2021,
2-Sep,trr,2021,
3-Sep,tsr,2021,
4-Sep,u,2021,
5-Sep,urs,2021,
6-Sep,uss,2021,
7-Sep,uts,2021,
8-Sep,v,2021,
9-Sep,vst,2021,
10-Sep,vtt,2021,
11-Sep,vut,2021,
12-Sep,w,2021,
13-Sep,wtu,2021,
14-Sep,wuu,2021,
15-Sep,wvu,2021,
16-Sep,x,2021,
17-Sep,xuv,2021,
18-Sep,xvv,2021,
19-Sep,xwv,2021,
20-Sep,xy,2021,
21-Sep,y,2021,
22-Sep,yvw,2021,
