,MiddleTeton21,NFTeton21,DeltaLake21,Gusher21,CloudveilDome21,QuadCreek21,S.Cascade21,WindCave21,SilverRun21,SFTeton21,Skillet21,Grizzly21,SAKBasin21,ASV_Code,Percent_ID,Taxa_ID
89,0,0,0,0,208,0,0,0,0,0,0,0,0,3a6c15e57f429cf69738d017c5774f97,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_Orthocladius;s_Orthocladius sp. BOLD:ACK1991
90,0,0,0,0,0,0,0,0,0,199,0,0,0,4d58bcfdaae468df1011ace6ce24d93e,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_Stempellinella;s_Stempellinella sp. BIOUG25692-C08
93,0,0,183,174,0,0,0,2,0,0,48,0,0,9e1879ad28440b38aa150129231c9d95,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Orthocladiinae sp. BOLD-2016
97,0,0,167,0,0,0,0,0,0,6,34,8,0,5d0c2d2e492101d0dadedbefbf4d2555,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Trichoptera;f_Rhyacophilidae;g_;s_Rhyacophilidae sp. 10BBEPT-0215
102,0,0,0,0,0,0,0,0,24,162,0,0,0,e7125cd1896bd2c8768b2f66da32df30,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Ephemeroptera;f_Heptageniidae;g_Cinygmula;s_Cinygmula sp. D BG-2018
119,0,0,0,0,0,10,0,0,0,0,0,0,121,ae7031021fb3474f2ed25de4e15081eb,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_Diamesa;s_Diamesa sp. BOLD:ACG3454
121,0,0,0,0,0,115,0,0,7,0,0,0,0,3ea7129b9142ad1c752ea9fe33a4e8e7,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Trichoptera;f_Apataniidae;g_Allomyia;s_Allomyia sp. KMK US1
141,0,0,0,0,0,0,0,0,8,79,0,0,0,392a843964a924e7a84ee1ba45838e88,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Plecoptera;f_Chloroperlidae;g_Sweltsa;s_Sweltsa borealis
143,0,73,0,0,0,0,0,0,0,0,0,0,0,007f84bb719cf6ba7736542aaa461637,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_Orthocladius;s_Orthocladius sp. BIOUG31174-F12
151,0,0,0,0,0,0,0,0,65,0,0,0,0,d2cfd6e03d9ae4c714d5796aeadd5d31,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Orthocladiinae sp. BIOUG24967-H08
156,0,0,0,0,0,0,0,0,0,0,0,58,0,4446f34b71b3e1b11a4bd870874ed3f4,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_Eukiefferiella;s_Eukiefferiella claripennis
159,0,0,0,0,0,22,0,0,33,0,0,0,15,fe060d355ec1d098bd43aa4ed6b1cf4c,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Orthocladiinae sp. BIOUG24102-B12
163,0,0,0,0,0,0,0,0,0,51,0,0,0,b2657e2745bfee1b3d79e9249b51ddd9,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Plecoptera;f_Nemouridae;g_Zapada;s_Zapada sp. BOLD:ACI4043
170,0,0,0,0,0,45,0,0,0,0,0,0,0,d89065d4b39e32b7e5b9e9206110052a,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_Hydrobaenus;s_Hydrobaenus sp. BOLD:ACG3277
173,0,0,0,0,0,0,0,0,0,0,0,0,43,5bd74910070ec52f343a97c371a9dbe7,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_Diamesa;s_Diamesa sp. BIOUG22204-A10
181,0,0,36,0,0,0,0,0,0,0,0,0,0,68bc8267e18bb4de0d98afd5498637b5,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Orthocladiinae sp. BIOUG25572-A06
184,0,0,0,0,0,0,0,0,0,7,0,12,35,05ab15ee31965ae2e8592bcaa45970e0,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Chironomidae sp. BIOUG25572-H01
193,0,0,0,0,0,0,0,0,0,23,0,29,29,5f952a214a776f05e96274bc46666fc8,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Orthocladiinae sp. BIOUG26742-G06
199,0,0,0,0,0,22,0,0,0,0,0,0,0,2e6ab1a2b7a798ab70db43ed0731371e,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Muscidae;g_Coenosia;s_Coenosia tarsata
201,0,0,0,0,0,0,0,0,0,0,22,0,0,15f1bd9789423546d0553625953e0cbc,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Chironomidae sp. BIOUG20694-E02
205,0,0,0,0,0,0,0,0,20,0,0,0,12,c169e6e2cc3d77abee5a8291552d7f04,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Chironomidae sp. BOLD:ACU9267
210,0,0,0,0,0,0,0,0,17,0,0,0,0,ff196f0d529d150c0fedcb1f8e462677,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_Corynoneura;s_Corynoneura sp. BIOUG21429-E02
232,0,0,0,0,0,0,6,0,0,0,0,0,0,68b0143a79550b281b8e7e8dff34bae5,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Ephemeroptera;f_Leptohyphidae;g_Leptohyphes;s_Leptohyphes sp. L BG-2018
236,0,0,0,0,0,0,0,0,0,0,0,5,0,07f71c61c50de0ab07036db6903e7d87,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Trichoptera;f_Limnephilidae;g_Dicosmoecus;s_Dicosmoecus atripes
241,0,0,0,0,0,4,0,0,0,0,0,0,0,b43a80d59fcaea5f60da0b96441e144c,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Chironomidae sp. BIOUG25694-H06
244,0,0,0,0,0,0,0,0,0,0,4,0,0,81f6a3e930a2cf55900269d72c706005,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Neuroptera;f_Coniopterygidae;g_;s_Coniopterygidae sp. BIOUG25549-C04
248,0,0,0,0,0,0,0,0,0,0,0,4,0,c80d612621223369d609e4fad76f9f4b,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Trichoptera;f_Limnephilidae;g_Homophylax;s_Homophylax sp. DRCAD456-10
255,0,0,0,0,0,2,0,0,0,0,0,0,0,c6259a2b5f540c53b79d60b6f31a013b,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Trichoptera;f_Apataniidae;g_Allomyia;s_Allomyia sp. BOLD:AAH8586
260,0,0,0,0,0,0,0,0,0,0,2,0,0,ec7c0e34be1ff798f48351eda066680c,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Orthocladiinae sp. BIOUG25692-D03
261,0,0,0,0,0,0,0,0,0,0,0,2,0,fac4b2a2a39769f4b553000d6a61565e,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Chironomidae sp. BOLD:ACK4643
262,0,0,0,0,0,0,0,0,0,0,0,2,0,7a812d3456b55e81374194c291e38eb2,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Phoridae;g_Megaselia;s_Megaselia sp. BIOUG28251-D09
47,0,0,84,629,0,0,0,563,0,27,0,0,0,5749d4af89f68a8fe476ab84a92fda33,99.306,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_Cricotopus;s_Cricotopus sp. BIOUG26438-F04
188,0,0,0,32,0,0,0,0,0,0,0,0,0,240d49007ce9a735b2cf4e6f2e2b5a8a,99.306,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Chironomidae sp. BOLD:ACG3047
203,0,0,0,0,0,0,0,0,21,0,0,0,0,c68986eca67cb0702435e90a6ff1f007,99.306,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_Hydrobaenus;s_Hydrobaenus sp. BOLD:ACG3277
221,0,10,0,0,0,0,0,0,0,0,11,0,0,38c88af707deef5ef5ccb3fb17a967b7,99.306,k_Eukaryota;p_Arthropoda;c_Insecta;o_Hemiptera;f_Miridae;g_Lygus;s_Lygus keltoni
264,0,0,0,0,0,0,0,0,0,0,0,0,2,b20d3a711f533e01369f23fb53038a9f,99.306,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Chironomidae sp. SSWLF4410-13
12,0,0,23,843,0,0,0,274,0,3519,0,0,0,228e879841188e64b96a41a5d9611817,99.301,k_Eukaryota;p_Arthropoda;c_Insecta;o_Plecoptera;f_Nemouridae;g_Zapada;s_Zapada sp. BIOUG20783-C06
20,165,159,0,91,0,0,0,0,0,0,570,2153,0,afc802ee67182efe4abeeb99176cfda1,99.301,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Simuliidae;g_Prosimulium;s_Prosimulium sp. BOLD-2016
22,123,208,0,0,58,0,0,0,0,0,228,2516,0,16204d0867c0f839c28016031e2efd85,99.301,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_Orthocladius;s_Orthocladius sp. BOLD:ACL0132
26,0,0,0,0,0,18,0,241,452,805,0,91,27,946a7d60d524f95ded7ba6f47f4dbaca,99.301,k_Eukaryota;p_Arthropoda;c_Insecta;o_Plecoptera;f_Chloroperlidae;g_Sweltsa;s_Sweltsa sp. XZ03
39,674,0,0,0,0,0,0,0,0,0,0,88,757,6b80d584edc5cbdf530fddb6909905c8,99.301,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Chironomidae sp. BOLD:ACG4319
95,0,0,0,0,0,0,0,0,0,7,0,0,179,fce8d2ff2cd9f12bf8e587d86c0c9319,99.301,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Chironomidae sp. BOLD:ACI5892
100,0,162,0,0,0,0,0,0,0,0,0,0,0,54f517134605d266d320cf7ce140ab72,99.301,k_Eukaryota;p_Arthropoda;c_Insecta;o_Coleoptera;f_Elmidae;g_Optioservus;s_Optioservus sp. CFWIE054-10
191,0,0,0,0,0,0,0,31,0,0,0,0,0,6874072487952db8d6cd344aff6f5bca,99.301,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_Tokunagaia;s_Tokunagaia sp. BOLD-2016
15,0,0,0,0,0,0,2389,0,0,0,0,0,0,90b57bfbe6a11cf87cd118c39365ee67,99.296,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_Orthocladius;s_Orthocladius roussellae
16,634,427,1141,0,0,67,0,3760,0,0,0,0,29,24bd87a45dcd6aeb8ce82e5f83e8d2aa,99.296,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_Diamesa;s_Diamesa sp. BOLD-2016
40,0,86,0,0,0,0,0,0,756,0,0,8,280,7571cee4dcecfbf04e83e2bddf7f6fbf,99.296,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Chironomidae sp. BIOUG22736-D02
68,0,0,0,0,0,0,0,0,0,379,0,0,0,6c065d2b08f97a922626e94febe96474,99.296,k_Eukaryota;p_Arthropoda;c_Insecta;o_Ephemeroptera;f_Heptageniidae;g_Epeorus;s_Epeorus deceptivus
73,0,0,327,36,0,0,0,0,0,0,0,0,0,b6eecaf2097e883d91273375f574374f,99.296,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Chironomidae sp. BOLD:ACG1632
79,0,0,0,51,0,0,0,225,0,0,0,0,0,c3fa2dcfffa6840b81dc4b09ea9b75f3,99.296,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Simuliidae;g_;s_Simuliidae sp. I14-44-03
105,0,0,0,0,0,157,0,0,0,0,0,0,0,a9c4e701d574f1365c19ce1e6a9303ab,99.296,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_Micropsectra;s_Micropsectra sp. BIOUG23516-A11
131,0,0,0,0,0,0,0,0,17,0,0,0,89,149bc99c0fb02d44bf403082c72f98fd,99.296,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_Orthocladius;s_Orthocladius sp. BIOUG22026-C03
147,0,0,69,0,0,0,0,0,0,0,0,0,0,bc7514549967b8d54dec8ce7453f9b52,99.296,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Orthocladiinae sp. BIOUG26726-G01
177,0,0,0,0,0,39,0,0,0,0,0,0,0,d6541a6efa04103e80566a1f717958e8,99.296,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Orthocladiinae sp. BOLD-2016
187,0,32,0,0,0,0,0,0,25,0,0,0,0,638546d957963202856becf64e66330a,99.296,k_Eukaryota;p_Arthropoda;c_Insecta;o_Trichoptera;f_Rhyacophilidae;g_Rhyacophila;s_Rhyacophila verrula
197,0,0,0,0,0,0,0,0,0,0,0,26,0,33d86083af88d60b6bd50be63ec3956a,99.296,k_Eukaryota;p_Annelida;c_Clitellata;o_Enchytraeida;f_Enchytraeidae;g_Marionina;s_Marionina cf. riparia PDW-2010
234,0,0,0,0,0,0,0,0,6,0,0,0,0,05a45e18bb78297b3c294febf0694aac,99.296,k_Eukaryota;p_Arthropoda;c_Insecta;o_Hemiptera;f_Cicadellidae;g_Dikraneura;s_Dikraneura sp. BIOUG22120-C10
252,0,2,0,0,0,0,0,0,0,0,0,0,0,6cabc06758e089d08113267d34c051ca,99.296,k_Eukaryota;p_Arthropoda;c_Insecta;o_Trichoptera;f_Limnephilidae;g_Psychoglypha;s_Psychoglypha sp. BIOUG01
218,0,0,0,0,0,11,0,0,0,0,0,0,0,2944ee230595c7524c90fc289b90a4f1,99.291,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Tanypodinae sp. BIOUG20434-C12
135,0,0,0,0,0,0,0,0,0,85,0,0,27,8681e772ca0750b6cf2934323b2cf737,99.281,k_Eukaryota;p_Arthropoda;c_Insecta;o_Plecoptera;f_Nemouridae;g_Zapada;s_Zapada sp. n. 'sexton'
189,0,31,0,0,0,0,0,0,0,0,0,0,0,cb6796524474444089bb577d8a4818da,99.281,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_Orthocladius;s_Orthocladius sp. I14-101-03
106,112,0,149,6,34,0,0,45,0,0,0,0,0,f15e7ed86813de60f9c0bcc43c197c4f,99.275,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Chironomidae sp. BIOUG22411-B12
246,0,0,0,0,0,0,0,0,0,0,0,4,0,e0801068e4ba8729afddce94ec7c0894,98.639,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_Heterotrissocladius;s_Heterotrissocladius sp. 20280-A10
42,0,0,0,0,0,0,0,0,722,0,0,0,0,65bf94f52d45984cf25d671d8bdb3679,98.611,k_Eukaryota;p_Arthropoda;c_Insecta;o_Plecoptera;f_Chloroperlidae;g_Sweltsa;s_Sweltsa sp. BOLD:AAG6639
165,0,0,0,48,0,0,0,0,0,0,0,0,0,2612afd45ad2b847a1075668e90a5df9,98.611,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_Diamesa;s_Diamesa urvantsevi
168,0,0,0,0,0,0,0,0,0,47,0,0,0,18b16ebdc28a684b512fb296906fa9ba,98.611,k_Eukaryota;p_Arthropoda;c_Insecta;o_Plecoptera;f_Perlodidae;g_Megarcys;s_Megarcys watertoni
25,116,417,0,0,160,0,0,0,0,0,351,1592,0,ec3e98ed173d55293880927bdf8a8028,98.601,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_Orthocladius;s_Orthocladius sp. BOLD:ACL0132
57,34,0,0,0,0,0,0,0,0,0,0,482,0,27aaf190a11b8b9876ff3c69a12313e9,98.601,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Pediciidae;g_;s_Pediciidae sp. BOLD-2016
94,0,0,0,0,179,0,0,0,0,0,0,0,0,f2d72d3bb1cb0b5bab454eb750bebef5,98.601,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Orthocladiinae sp. BIOUG31175-A03
101,0,0,0,0,0,162,0,0,49,0,0,22,0,a8ebd9f40e519c11a9fcf0ee4bc0682d,98.601,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_Micropsectra;s_Micropsectra sp. BIOUG05238-C07
113,0,0,0,137,0,0,0,0,0,106,0,0,0,599addf0e640721d0be15c4934188982,98.601,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Chironomidae sp. BIOUG26742-H03
114,0,0,0,0,0,0,0,0,0,133,0,0,0,4b231a120b75edbcb0821ad7822f8f83,98.601,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_Micropsectra;s_Micropsectra sp. BOLD-2016
129,0,0,0,170,0,0,0,0,0,0,0,0,0,0e39bc7b22142aba9809fb61e00dfec7,98.601,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Chironomidae sp. BIOUG22054-D09
154,0,0,0,0,0,62,0,0,0,0,0,0,0,ef12ad01bc5ca753e1e871eb00a4842c,98.601,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Pediciidae;g_;s_Pediciidae sp. SW10-02
214,0,0,0,15,0,0,0,0,0,0,0,0,0,066777d86a8ca2ffd6e9c9d1287580cd,98.601,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Chironomidae sp. BIOUG22411-B11
242,0,0,0,0,0,0,0,0,4,0,0,0,0,c641a9f37bf1b250e674c245c63f7b6c,98.601,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Chironomidae sp. BIOUG22902-G07
24,0,0,0,0,0,0,1516,0,0,0,0,0,0,974205532e71c649baf87f1845fdb84d,98.592,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Diamesinae sp. BIOUG22183-C10
34,0,0,60,560,371,29,0,346,0,0,44,198,0,3c9db203c2f7521b5330198678f74c0c,98.592,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_Paratrichocladius;s_Paratrichocladius sp. 30280-A7
64,0,0,117,42,0,0,0,388,73,178,0,0,48,55712882149f6e2f3ac1ec88011e623b,98.592,k_Eukaryota;p_Arthropoda;c_Insecta;o_Plecoptera;f_Perlodidae;g_Megarcys;s_Megarcys subtruncata
65,0,0,0,0,0,0,0,0,0,386,0,0,0,82244c4776ac68fe55da2dc089e3acf1,98.592,k_Eukaryota;p_Arthropoda;c_Insecta;o_Ephemeroptera;f_Heptageniidae;g_Rhithrogena;s_Rhithrogena robusta
71,0,0,0,0,0,0,0,339,0,0,0,0,87,f85a960f60816f7fa8722e4e58b6086a,98.592,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Chironomidae sp. BIOUG25357-E02
82,0,0,0,187,0,0,0,0,0,0,0,251,0,f98ae1a898fae09f5f6a37d98ba2ff30,98.592,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Chironomidae sp. BOLD-2016
84,0,0,0,15,0,0,0,0,0,224,0,0,0,90f8dd8c3e521b356a76fcf2b5fd8577,98.592,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_Orthocladius;s_Orthocladius sp. I14-94-04
125,0,0,0,0,106,0,0,0,0,0,0,0,0,c8578e7c6236818eeb711891ee7f7b50,98.592,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Simuliidae;g_Prosimulium;s_Prosimulium neomacropyga
206,0,0,0,0,0,19,0,0,0,0,0,0,0,aaf0519c897c20a84eff5c95f4d99740,98.592,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Empididae;g_;s_Empididae sp. BBDCQ326-10
225,0,8,0,0,0,0,0,0,0,0,0,0,0,8b258a3bce926be9b3f20a1dcb8bdbc5,98.592,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_Smittia;s_Smittia sp. BIOUG22041-E09
54,0,0,0,549,0,0,0,20,0,0,0,0,0,357332b88849ed40a391ff97d57443fe,98.571,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_Eukiefferiella;s_Eukiefferiella devonica group sp.
253,0,0,0,2,0,0,0,0,0,0,0,0,0,c2b22c48fb17c01349b28dace666fbea,97.938,k_Eukaryota;p_Arthropoda;c_Ostracoda;o_;f_;g_;s_Ostracoda sp. BIOUG09716-A01
96,0,0,0,2,0,0,0,0,177,0,0,0,19,f2b9ebdeea1f30f60b35cc4e0dfdd3b5,97.917,k_Eukaryota;p_Arthropoda;c_Ostracoda;o_;f_;g_;s_Ostracoda sp. BIOUG09716-A01
120,0,0,67,26,0,0,0,107,0,118,0,0,39,c59bb2080faedbd658d5282c065aa6b2,97.917,k_Eukaryota;p_Arthropoda;c_Insecta;o_Plecoptera;f_Perlodidae;g_Megarcys;s_Megarcys signata complex sp. A BG-2018
28,993,99,0,0,1280,0,0,0,76,0,565,344,431,9bc3bc72679646a002ebdde1f39cccf1,97.902,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Chironomidae sp. BOLD:ACG4319
33,0,0,0,277,0,0,0,950,0,0,21,0,0,c3e392c4ebdaaa44fae8dc0c6063f352,97.902,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Chironomidae sp. BOLD:ACG2248
35,0,0,0,0,0,0,0,0,0,1727,0,0,0,96368b1dbf9aee9b465cc907653c20ec,97.902,k_Eukaryota;p_Arthropoda;c_Insecta;o_Ephemeroptera;f_Heptageniidae;g_;s_Heptageniidae sp. BIOUG21000-D06
62,0,0,0,0,0,0,0,0,0,677,0,0,76,ef350bbc5105799b4a88602a40670939,97.902,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Chironomidae sp. BOLD:ACI5524
88,0,0,0,212,0,0,0,0,0,0,45,118,0,b546fb721ba90227c5263a5ccbc18ca5,97.902,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Simuliidae;g_Prosimulium;s_Prosimulium travisi
92,0,0,0,0,0,0,0,0,0,0,0,190,0,053a5ee7cd97f76822d224562b3ded21,97.902,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_Paratrichocladius;s_Paratrichocladius sp. 30280-A7
