"ï»¿""Plot Title: 10767838""",,,,,,,,
#,"Date Time, GMT-06:00","Temp, Â°F (LGR S/N: 10767838, SEN S/N: 10767838)",,Coupler Detached (LGR S/N: 10767838),Coupler Attached (LGR S/N: 10767838),Host Connected (LGR S/N: 10767838),Stopped (LGR S/N: 10767838),End Of File (LGR S/N: 10767838)
109,8/7/15 7:10,50.22,10.12,,,,,
110,8/7/15 8:10,49.74,9.85,,,,,
111,8/7/15 9:10,51.15,10.64,,,,,
112,8/7/15 10:10,53.73,12.07,,,,,
113,8/7/15 11:10,56.56,13.64,,,,,
114,8/7/15 12:10,59.96,15.53,,,,,
115,8/7/15 13:10,63.60,17.56,,,,,
116,8/7/15 14:10,66.43,19.13,,,,,
117,8/7/15 15:10,68.83,20.46,,,,,
118,8/7/15 16:10,70.97,21.65,,,,,
119,8/7/15 17:10,72.14,22.30,,,,,
120,8/7/15 18:10,72.70,22.61,,,,,
121,8/7/15 19:10,71.02,21.68,,,,,
122,8/7/15 20:10,67.67,19.82,,,,,
123,8/7/15 21:10,64.38,17.99,,,,,
124,8/7/15 22:10,61.33,16.30,,,,,
125,8/7/15 23:10,59.49,15.27,,,,,
126,8/8/15 0:10,58.02,14.46,,,,,
127,8/8/15 1:10,56.94,13.86,,,,,
128,8/8/15 2:10,56.04,13.35,,,,,
129,8/8/15 3:10,55.13,12.85,,,,,
130,8/8/15 4:10,54.65,12.58,,,,,
131,8/8/15 5:10,54.26,12.36,,,,,
132,8/8/15 6:10,53.87,12.15,,,,,
133,8/8/15 7:10,53.91,12.17,,,,,
134,8/8/15 8:10,54.26,12.36,,,,,
135,8/8/15 9:10,55.82,13.23,,,,,
136,8/8/15 10:10,54.82,12.68,,,,,
137,8/8/15 11:10,51.90,11.05,,,,,
138,8/8/15 12:10,49.29,9.61,,,,,
139,8/8/15 13:10,49.56,9.76,,,,,
140,8/8/15 14:10,48.76,9.31,,,,,
141,8/8/15 15:10,46.21,7.90,,,,,
142,8/8/15 16:10,39.55,4.19,,,,,
143,8/8/15 17:10,38.98,3.88,,,,,
144,8/8/15 18:10,38.04,3.35,,,,,
145,8/8/15 19:10,37.66,3.14,,,,,
146,8/8/15 20:10,37.13,2.85,,,,,
147,8/8/15 21:10,36.94,2.74,,,,,
148,8/8/15 22:10,36.89,2.72,,,,,
149,8/8/15 23:10,36.70,2.61,,,,,
150,8/9/15 0:10,36.60,2.56,,,,,
151,8/9/15 1:10,36.46,2.48,,,,,
152,8/9/15 2:10,36.46,2.48,,,,,
153,8/9/15 3:10,36.03,2.24,,,,,
154,8/9/15 4:10,35.69,2.05,,,,,
155,8/9/15 5:10,35.25,1.81,,,,,
156,8/9/15 6:10,35.15,1.75,,,,,
157,8/9/15 7:10,35.25,1.81,,,,,
158,8/9/15 8:10,36.46,2.48,,,,,
159,8/9/15 9:10,39.03,3.91,,,,,
160,8/9/15 10:10,42.43,5.80,,,,,
161,8/9/15 11:10,45.13,7.29,,,,,
162,8/9/15 12:10,47.29,8.49,,,,,
163,8/9/15 13:10,48.00,8.89,,,,,
164,8/9/15 14:10,48.32,9.06,,,,,
165,8/9/15 15:10,45.58,7.54,,,,,
166,8/9/15 16:10,43.85,6.59,,,,,
167,8/9/15 17:10,42.85,6.03,,,,,
168,8/9/15 18:10,40.95,4.97,,,,,
169,8/9/15 19:10,39.08,3.93,,,,,
170,8/9/15 20:10,38.32,3.51,,,,,
171,8/9/15 21:10,37.66,3.14,,,,,
172,8/9/15 22:10,37.27,2.93,,,,,
173,8/9/15 23:10,37.18,2.88,,,,,
174,8/10/15 0:10,36.94,2.74,,,,,
175,8/10/15 1:10,36.80,2.66,,,,,
176,8/10/15 2:10,36.75,2.64,,,,,
177,8/10/15 3:10,36.60,2.56,,,,,
178,8/10/15 4:10,36.46,2.48,,,,,
179,8/10/15 5:10,36.36,2.42,,,,,
180,8/10/15 6:10,36.07,2.26,,,,,
181,8/10/15 7:10,35.78,2.10,,,,,
182,8/10/15 8:10,36.89,2.72,,,,,
183,8/10/15 9:10,39.69,4.27,,,,,
184,8/10/15 10:10,43.12,6.18,,,,,
185,8/10/15 11:10,46.08,7.82,,,,,
186,8/10/15 12:10,48.09,8.94,,,,,
187,8/10/15 13:10,48.67,9.26,,,,,
188,8/10/15 14:10,48.09,8.94,,,,,
189,8/10/15 15:10,47.29,8.49,,,,,
190,8/10/15 16:10,45.58,7.54,,,,,
191,8/10/15 17:10,43.26,6.26,,,,,
192,8/10/15 18:10,41.60,5.33,,,,,
193,8/10/15 19:10,39.60,4.22,,,,,
194,8/10/15 20:10,38.42,3.56,,,,,
195,8/10/15 21:10,37.80,3.22,,,,,
196,8/10/15 22:10,37.75,3.20,,,,,
197,8/10/15 23:10,37.70,3.17,,,,,
198,8/11/15 0:10,37.70,3.17,,,,,
199,8/11/15 1:10,37.61,3.12,,,,,
200,8/11/15 2:10,37.47,3.04,,,,,
201,8/11/15 3:10,37.37,2.98,,,,,
202,8/11/15 4:10,37.42,3.01,,,,,
203,8/11/15 5:10,37.89,3.27,,,,,
204,8/11/15 6:10,37.94,3.30,,,,,
205,8/11/15 7:10,37.89,3.27,,,,,
206,8/11/15 8:10,38.84,3.80,,,,,
207,8/11/15 9:10,41.18,5.10,,,,,
208,8/11/15 10:10,44.13,6.74,,,,,
209,8/11/15 11:10,46.66,8.15,,,,,
210,8/11/15 12:10,48.18,8.99,,,,,
211,8/11/15 13:10,48.98,9.44,,,,,
212,8/11/15 14:10,48.72,9.29,,,,,
213,8/11/15 15:10,45.85,7.70,,,,,
214,8/11/15 16:10,43.81,6.56,,,,,
215,8/11/15 17:10,41.55,5.31,,,,,
216,8/11/15 18:10,41.18,5.10,,,,,
217,8/11/15 19:10,40.11,4.51,,,,,
218,8/11/15 20:10,39.64,4.25,,,,,
219,8/11/15 21:10,39.17,3.99,,,,,
220,8/11/15 22:10,39.08,3.93,,,,,
221,8/11/15 23:10,39.03,3.91,,,,,
222,8/12/15 0:10,39.17,3.99,,,,,
223,8/12/15 1:10,39.12,3.96,,,,,
224,8/12/15 2:10,38.84,3.80,,,,,
225,8/12/15 3:10,38.61,3.67,,,,,
226,8/12/15 4:10,38.42,3.56,,,,,
227,8/12/15 5:10,38.42,3.56,,,,,
228,8/12/15 6:10,38.61,3.67,,,,,
229,8/12/15 7:10,38.94,3.85,,,,,
230,8/12/15 8:10,39.08,3.93,,,,,
231,8/12/15 9:10,39.55,4.19,,,,,
232,8/12/15 10:10,40.30,4.61,,,,,
233,8/12/15 11:10,43.21,6.23,,,,,
234,8/12/15 12:10,44.95,7.19,,,,,
235,8/12/15 13:10,46.12,7.85,,,,,
236,8/12/15 14:10,45.08,7.27,,,,,
237,8/12/15 15:10,45.49,7.49,,,,,
238,8/12/15 16:10,44.86,7.14,,,,,
239,8/12/15 17:10,44.31,6.84,,,,,
240,8/12/15 18:10,43.35,6.31,,,,,
241,8/12/15 19:10,41.79,5.44,,,,,
242,8/12/15 20:10,40.81,4.90,,,,,
243,8/12/15 21:10,40.25,4.58,,,,,
244,8/12/15 22:10,39.45,4.14,,,,,
245,8/12/15 23:10,38.89,3.83,,,,,
246,8/13/15 0:10,38.51,3.62,,,,,
247,8/13/15 1:10,38.65,3.70,,,,,
248,8/13/15 2:10,38.98,3.88,,,,,
249,8/13/15 3:10,39.17,3.99,,,,,
250,8/13/15 4:10,39.36,4.09,,,,,
251,8/13/15 5:10,39.78,4.32,,,,,
252,8/13/15 6:10,39.78,4.32,,,,,
253,8/13/15 7:10,39.41,4.12,,,,,
254,8/13/15 8:10,40.39,4.66,,,,,
255,8/13/15 9:10,42.76,5.98,,,,,
256,8/13/15 10:10,45.62,7.57,,,,,
257,8/13/15 11:10,48.27,9.04,,,,,
258,8/13/15 12:10,47.65,8.69,,,,,
259,8/13/15 13:10,45.76,7.65,,,,,
260,8/13/15 14:10,43.85,6.59,,,,,
261,8/13/15 15:10,43.67,6.48,,,,,
262,8/13/15 16:10,45.04,7.24,,,,,
263,8/13/15 17:10,43.49,6.38,,,,,
264,8/13/15 18:10,41.83,5.46,,,,,
265,8/13/15 19:10,40.06,4.48,,,,,
266,8/13/15 20:10,39.45,4.14,,,,,
267,8/13/15 21:10,39.27,4.04,,,,,
268,8/13/15 22:10,38.80,3.78,,,,,
269,8/13/15 23:10,38.32,3.51,,,,,
270,8/14/15 0:10,38.32,3.51,,,,,
271,8/14/15 1:10,38.42,3.56,,,,,
272,8/14/15 2:10,38.56,3.64,,,,,
273,8/14/15 3:10,38.56,3.64,,,,,
274,8/14/15 4:10,38.56,3.64,,,,,
275,8/14/15 5:10,38.61,3.67,,,,,
276,8/14/15 6:10,38.51,3.62,,,,,
277,8/14/15 7:10,38.94,3.85,,,,,
278,8/14/15 8:10,40.02,4.45,,,,,
279,8/14/15 9:10,40.63,4.79,,,,,
280,8/14/15 10:10,41.28,5.15,,,,,
281,8/14/15 11:10,41.69,5.39,,,,,
282,8/14/15 12:10,41.37,5.21,,,,,
283,8/14/15 13:10,41.74,5.41,,,,,
284,8/14/15 14:10,42.34,5.75,,,,,
285,8/14/15 15:10,45.99,7.77,,,,,
286,8/14/15 16:10,46.44,8.02,,,,,
287,8/14/15 17:10,45.22,7.34,,,,,
288,8/14/15 18:10,42.66,5.92,,,,,
289,8/14/15 19:10,41.18,5.10,,,,,
290,8/14/15 20:10,40.67,4.82,,,,,
291,8/14/15 21:10,41.97,5.54,,,,,
292,8/14/15 22:10,40.91,4.95,,,,,
293,8/14/15 23:10,39.69,4.27,,,,,
294,8/15/15 0:10,39.97,4.43,,,,,
295,8/15/15 1:10,39.97,4.43,,,,,
296,8/15/15 2:10,40.16,4.53,,,,,
297,8/15/15 3:10,39.88,4.38,,,,,
298,8/15/15 4:10,39.41,4.12,,,,,
299,8/15/15 5:10,39.22,4.01,,,,,
300,8/15/15 6:10,38.89,3.83,,,,,
301,8/15/15 7:10,38.80,3.78,,,,,
302,8/15/15 8:10,39.31,4.06,,,,,
303,8/15/15 9:10,41.18,5.10,,,,,
304,8/15/15 10:10,42.71,5.95,,,,,
305,8/15/15 11:10,44.40,6.89,,,,,
306,8/15/15 12:10,45.62,7.57,,,,,
307,8/15/15 13:10,46.84,8.25,,,,,
308,8/15/15 14:10,46.71,8.17,,,,,
309,8/15/15 15:10,45.22,7.34,,,,,
310,8/15/15 16:10,43.44,6.36,,,,,
311,8/15/15 17:10,41.60,5.33,,,,,
312,8/15/15 18:10,39.74,4.30,,,,,
313,8/15/15 19:10,38.56,3.64,,,,,
314,8/15/15 20:10,37.80,3.22,,,,,
315,8/15/15 21:10,36.84,2.69,,,,,
316,8/15/15 22:10,36.51,2.50,,,,,
317,8/15/15 23:10,36.55,2.53,,,,,
318,8/16/15 0:10,36.60,2.56,,,,,
319,8/16/15 1:10,36.41,2.45,,,,,
320,8/16/15 2:10,36.12,2.29,,,,,
321,8/16/15 3:10,35.78,2.10,,,,,
322,8/16/15 4:10,35.73,2.07,,,,,
323,8/16/15 5:10,35.73,2.07,,,,,
324,8/16/15 6:10,35.73,2.07,,,,,
325,8/16/15 7:10,35.59,1.99,,,,,
326,8/16/15 8:10,36.46,2.48,,,,,
327,8/16/15 9:10,38.75,3.75,,,,,
328,8/16/15 10:10,41.55,5.31,,,,,
329,8/16/15 11:10,43.67,6.48,,,,,
330,8/16/15 12:10,45.17,7.32,,,,,
331,8/16/15 13:10,45.99,7.77,,,,,
332,8/16/15 14:10,45.90,7.72,,,,,
333,8/16/15 15:10,45.44,7.47,,,,,
334,8/16/15 16:10,44.13,6.74,,,,,
335,8/16/15 17:10,42.39,5.77,,,,,
336,8/16/15 18:10,40.16,4.53,,,,,
337,8/16/15 19:10,38.13,3.41,,,,,
338,8/16/15 20:10,37.47,3.04,,,,,
339,8/16/15 21:10,36.94,2.74,,,,,
340,8/16/15 22:10,36.46,2.48,,,,,
341,8/16/15 23:10,36.27,2.37,,,,,
342,8/17/15 0:10,36.12,2.29,,,,,
343,8/17/15 1:10,35.93,2.18,,,,,
344,8/17/15 2:10,35.73,2.07,,,,,
345,8/17/15 3:10,35.64,2.02,,,,,
346,8/17/15 4:10,35.54,1.97,,,,,
347,8/17/15 5:10,35.35,1.86,,,,,
348,8/17/15 6:10,35.20,1.78,,,,,
349,8/17/15 7:10,35.10,1.72,,,,,
350,8/17/15 8:10,35.88,2.16,,,,,
351,8/17/15 9:10,38.04,3.35,,,,,
352,8/17/15 10:10,41.28,5.15,,,,,
353,8/17/15 11:10,44.17,6.76,,,,,
354,8/17/15 12:10,46.12,7.85,,,,,
355,8/17/15 13:10,46.75,8.20,,,,,
356,8/17/15 14:10,46.57,8.10,,,,,
357,8/17/15 15:10,44.90,7.17,,,,,
358,8/17/15 16:10,43.85,6.59,,,,,
359,8/17/15 17:10,41.88,5.49,,,,,
360,8/17/15 18:10,40.49,4.71,,,,,
361,8/17/15 19:10,39.31,4.06,,,,,
362,8/17/15 20:10,38.42,3.56,,,,,
363,8/17/15 21:10,37.51,3.06,,,,,
364,8/17/15 22:10,36.84,2.69,,,,,
365,8/17/15 23:10,36.41,2.45,,,,,
366,8/18/15 0:10,36.03,2.24,,,,,
367,8/18/15 1:10,35.69,2.05,,,,,
368,8/18/15 2:10,35.40,1.89,,,,,
369,8/18/15 3:10,35.10,1.72,,,,,
370,8/18/15 4:10,34.91,1.62,,,,,
371,8/18/15 5:10,34.66,1.48,,,,,
372,8/18/15 6:10,34.47,1.37,,,,,
373,8/18/15 7:10,34.42,1.34,,,,,
374,8/18/15 8:10,35.10,1.72,,,,,
375,8/18/15 9:10,37.27,2.93,,,,,
376,8/18/15 10:10,40.30,4.61,,,,,
377,8/18/15 11:10,42.62,5.90,,,,,
378,8/18/15 12:10,43.40,6.33,,,,,
379,8/18/15 13:10,43.03,6.13,,,,,
380,8/18/15 14:10,41.88,5.49,,,,,
381,8/18/15 15:10,42.29,5.72,,,,,
382,8/18/15 16:10,40.95,4.97,,,,,
383,8/18/15 17:10,41.28,5.15,,,,,
384,8/18/15 18:10,40.81,4.90,,,,,
385,8/18/15 19:10,39.55,4.19,,,,,
386,8/18/15 20:10,38.65,3.70,,,,,
387,8/18/15 21:10,37.85,3.25,,,,,
388,8/18/15 22:10,37.27,2.93,,,,,
389,8/18/15 23:10,36.89,2.72,,,,,
390,8/19/15 0:10,36.55,2.53,,,,,
391,8/19/15 1:10,36.31,2.40,,,,,
392,8/19/15 2:10,36.12,2.29,,,,,
393,8/19/15 3:10,36.03,2.24,,,,,
394,8/19/15 4:10,35.88,2.16,,,,,
395,8/19/15 5:10,35.35,1.86,,,,,
396,8/19/15 6:10,34.96,1.64,,,,,
397,8/19/15 7:10,34.71,1.51,,,,,
398,8/19/15 8:10,35.49,1.94,,,,,
399,8/19/15 9:10,37.89,3.27,,,,,
400,8/19/15 10:10,41.37,5.21,,,,,
401,8/19/15 11:10,44.58,6.99,,,,,
402,8/19/15 12:10,46.89,8.27,,,,,
403,8/19/15 13:10,47.15,8.42,,,,,
404,8/19/15 14:10,47.06,8.37,,,,,
405,8/19/15 15:10,46.53,8.07,,,,,
406,8/19/15 16:10,45.13,7.29,,,,,
407,8/19/15 17:10,43.62,6.46,,,,,
408,8/19/15 18:10,41.88,5.49,,,,,
409,8/19/15 19:10,40.25,4.58,,,,,
410,8/19/15 20:10,39.31,4.06,,,,,
411,8/19/15 21:10,38.56,3.64,,,,,
412,8/19/15 22:10,38.04,3.35,,,,,
413,8/19/15 23:10,37.80,3.22,,,,,
414,8/20/15 0:10,37.61,3.12,,,,,
415,8/20/15 1:10,37.27,2.93,,,,,
416,8/20/15 2:10,37.04,2.80,,,,,
417,8/20/15 3:10,36.94,2.74,,,,,
418,8/20/15 4:10,36.80,2.66,,,,,
419,8/20/15 5:10,36.60,2.56,,,,,
420,8/20/15 6:10,36.36,2.42,,,,,
421,8/20/15 7:10,36.36,2.42,,,,,
422,8/20/15 8:10,36.94,2.74,,,,,
423,8/20/15 9:10,39.17,3.99,,,,,
424,8/20/15 10:10,42.48,5.82,,,,,
425,8/20/15 11:10,45.58,7.54,,,,,
426,8/20/15 12:10,47.38,8.54,,,,,
427,8/20/15 13:10,47.74,8.74,,,,,
428,8/20/15 14:10,47.42,8.57,,,,,
429,8/20/15 15:10,46.62,8.12,,,,,
430,8/20/15 16:10,45.04,7.24,,,,,
431,8/20/15 17:10,43.26,6.26,,,,,
432,8/20/15 18:10,41.18,5.10,,,,,
433,8/20/15 19:10,39.17,3.99,,,,,
434,8/20/15 20:10,38.08,3.38,,,,,
435,8/20/15 21:10,37.27,2.93,,,,,
436,8/20/15 22:10,36.84,2.69,,,,,
437,8/20/15 23:10,36.46,2.48,,,,,
438,8/21/15 0:10,36.31,2.40,,,,,
439,8/21/15 1:10,36.27,2.37,,,,,
440,8/21/15 2:10,36.41,2.45,,,,,
441,8/21/15 3:10,36.31,2.40,,,,,
442,8/21/15 4:10,36.07,2.26,,,,,
443,8/21/15 5:10,35.93,2.18,,,,,
444,8/21/15 6:10,35.88,2.16,,,,,
445,8/21/15 7:10,35.93,2.18,,,,,
446,8/21/15 8:10,36.94,2.74,,,,,
447,8/21/15 9:10,39.60,4.22,,,,,
448,8/21/15 10:10,42.66,5.92,,,,,
449,8/21/15 11:10,45.44,7.47,,,,,
450,8/21/15 12:10,47.11,8.39,,,,,
451,8/21/15 13:10,47.60,8.67,,,,,
452,8/21/15 14:10,47.29,8.49,,,,,
453,8/21/15 15:10,45.85,7.70,,,,,
454,8/21/15 16:10,43.81,6.56,,,,,
455,8/21/15 17:10,41.46,5.26,,,,,
456,8/21/15 18:10,40.16,4.53,,,,,
457,8/21/15 19:10,39.08,3.93,,,,,
458,8/21/15 20:10,38.56,3.64,,,,,
459,8/21/15 21:10,38.13,3.41,,,,,
460,8/21/15 22:10,37.61,3.12,,,,,
461,8/21/15 23:10,37.18,2.88,,,,,
462,8/22/15 0:10,36.84,2.69,,,,,
463,8/22/15 1:10,36.65,2.58,,,,,
464,8/22/15 2:10,36.41,2.45,,,,,
465,8/22/15 3:10,36.17,2.32,,,,,
466,8/22/15 4:10,35.88,2.16,,,,,
467,8/22/15 5:10,35.69,2.05,,,,,
468,8/22/15 6:10,35.30,1.83,,,,,
469,8/22/15 7:10,34.91,1.62,,,,,
470,8/22/15 8:10,35.06,1.70,,,,,
471,8/22/15 9:10,37.32,2.96,,,,,
472,8/22/15 10:10,40.39,4.66,,,,,
473,8/22/15 11:10,43.58,6.43,,,,,
474,8/22/15 12:10,45.76,7.65,,,,,
475,8/22/15 13:10,46.39,8.00,,,,,
476,8/22/15 14:10,46.30,7.95,,,,,
477,8/22/15 15:10,45.62,7.57,,,,,
478,8/22/15 16:10,44.31,6.84,,,,,
479,8/22/15 17:10,42.53,5.85,,,,,
480,8/22/15 18:10,40.16,4.53,,,,,
481,8/22/15 19:10,37.99,3.33,,,,,
482,8/22/15 20:10,36.84,2.69,,,,,
483,8/22/15 21:10,35.98,2.21,,,,,
484,8/22/15 22:10,35.44,1.91,,,,,
485,8/22/15 23:10,35.10,1.72,,,,,
486,8/23/15 0:10,34.86,1.59,,,,,
487,8/23/15 1:10,34.66,1.48,,,,,
488,8/23/15 2:10,34.52,1.40,,,,,
489,8/23/15 3:10,34.22,1.24,,,,,
490,8/23/15 4:10,33.93,1.07,,,,,
491,8/23/15 5:10,33.73,0.96,,,,,
492,8/23/15 6:10,33.63,0.91,,,,,
493,8/23/15 7:10,33.63,0.91,,,,,
494,8/23/15 8:10,34.66,1.48,,,,,
495,8/23/15 9:10,37.70,3.17,,,,,
496,8/23/15 10:10,41.46,5.26,,,,,
497,8/23/15 11:10,45.08,7.27,,,,,
498,8/23/15 12:10,47.87,8.82,,,,,
499,8/23/15 13:10,48.63,9.24,,,,,
500,8/23/15 14:10,48.49,9.16,,,,,
501,8/23/15 15:10,47.74,8.74,,,,,
502,8/23/15 16:10,45.85,7.70,,,,,
503,8/23/15 17:10,43.90,6.61,,,,,
504,8/23/15 18:10,41.74,5.41,,,,,
505,8/23/15 19:10,39.88,4.38,,,,,
506,8/23/15 20:10,38.89,3.83,,,,,
507,8/23/15 21:10,38.13,3.41,,,,,
508,8/23/15 22:10,37.66,3.14,,,,,
509,8/23/15 23:10,37.32,2.96,,,,,
510,8/24/15 0:10,36.89,2.72,,,,,
511,8/24/15 1:10,36.46,2.48,,,,,
512,8/24/15 2:10,36.22,2.34,,,,,
513,8/24/15 3:10,36.12,2.29,,,,,
514,8/24/15 4:10,36.07,2.26,,,,,
515,8/24/15 5:10,36.07,2.26,,,,,
516,8/24/15 6:10,36.12,2.29,,,,,
517,8/24/15 7:10,36.22,2.34,,,,,
518,8/24/15 8:10,37.04,2.80,,,,,
519,8/24/15 9:10,39.12,3.96,,,,,
520,8/24/15 10:10,41.23,5.13,,,,,
521,8/24/15 11:10,44.22,6.79,,,,,
522,8/24/15 12:10,47.15,8.42,,,,,
523,8/24/15 13:10,49.16,9.53,,,,,
524,8/24/15 14:10,47.56,8.64,,,,,
525,8/24/15 15:10,45.13,7.29,,,,,
526,8/24/15 16:10,45.71,7.62,,,,,
527,8/24/15 17:10,44.72,7.07,,,,,
528,8/24/15 18:10,42.39,5.77,,,,,
529,8/24/15 19:10,40.63,4.79,,,,,
530,8/24/15 20:10,39.78,4.32,,,,,
531,8/24/15 21:10,39.03,3.91,,,,,
532,8/24/15 22:10,38.46,3.59,,,,,
533,8/24/15 23:10,38.18,3.43,,,,,
534,8/25/15 0:10,37.99,3.33,,,,,
535,8/25/15 1:10,37.94,3.30,,,,,
536,8/25/15 2:10,37.85,3.25,,,,,
537,8/25/15 3:10,37.75,3.20,,,,,
538,8/25/15 4:10,37.80,3.22,,,,,
539,8/25/15 5:10,37.89,3.27,,,,,
540,8/25/15 6:10,37.99,3.33,,,,,
541,8/25/15 7:10,38.04,3.35,,,,,
542,8/25/15 8:10,39.22,4.01,,,,,
543,8/25/15 9:10,41.83,5.46,,,,,
544,8/25/15 10:10,45.22,7.34,,,,,
545,8/25/15 11:10,48.05,8.92,,,,,
546,8/25/15 12:10,49.60,9.78,,,,,
547,8/25/15 13:10,50.22,10.12,,,,,
548,8/25/15 14:10,46.71,8.17,,,,,
549,8/25/15 15:10,44.58,6.99,,,,,
550,8/25/15 16:10,43.58,6.43,,,,,
551,8/25/15 17:10,42.20,5.67,,,,,
