Year,Date,Range,Sampler,Stream,Rep,Fraction,Subsample,Taxa,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,MeanLength(mm),IndBiomass(mg/ind),Subsample,Abundance ,Density,Biomass (mg/m2),Stage,Notes,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,1,Small,1,Probezzia,5.5,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,1,Small,1,Zapada,3,3,2.5,3,2,3,2.75,2.5,2,2.5,2,2.5,2.5,3,,,,,,,,,,14,151,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,2,Large,1,Tipula,29,24,30,28,32,16,,,,,,,,,,,,,,,,,,7,75,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,2,Large,1,Simuliidae,,,,,,,,,,,,,,,,,,,,,,,,1,11,,pupae,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,2,Large,1,Epeorus,7,7,6.5,6.5,7,6,5.5,5.5,7,5.5,6,7,5.5,7,6.5,4.5,,,,,,,,17,183,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,2,Large,1,Cinygmula,5,5.5,7,8,7,8,7,7,6,8,6,5,6,8,7,7.5,7,7.5,6,5,,,,36,388,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,2,Large,1,Sweltsa,5.5,5.5,7,5,4.5,5.5,7,6,5.5,6.5,,,,,,,,,,,,,,10,108,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,2,Large,1,Baetis,5,6,5,5,,,,,,,,,,,,,,,,,,,,4,43,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,2,Large,1,Non-Tanypodinae,5,5.5,4,2.75,,,,,,,,,,,,,,,,,,,,4,43,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,2,Large,1,Rhyacophila Coloradensis Group,9.5,9.5,5,,,,,,,,,,,,,,,,,,,,,3,32,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,2,Small,1,Cinygmula,3,2,6,2.5,5.5,5,5,1.75,1.75,2.25,5.25,5,2.25,1.75,2,2,3,,,,,,,17,183,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,2,Small,1,Non-Tanypodinae,3,3.5,3,3.5,3,3,2.25,3,3.5,3,1,3,4,2,4,3,4,4,2,2,,,,23,248,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,2,Small,1,Sweltsa,3.5,3,5,3.5,5.5,3.25,3.25,2.25,,,,,,,,,,,,,,,,8,86,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,2,Small,1,Baetis,4,2.5,4,4.5,4.5,,,,,,,,,,,,,,,,,,,5,54,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,2,Small,1,Chironomidae,,,,,,,,,,,,,,,,,,,,,,,,4,43,,pupae,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,2,Small,1,Acari,,,,,,,,,,,,,,,,,,,,,,,,4,43,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,2,Small,1,Collembola,1.5,1,,,,,,,,,,,,,,,,,,,,,,2,22,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,2,Small,1,Chironomidae,,,,,,,,,,,,,,,,,,,,,,,,1,11,,adult,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,2,Small,1,Probezzia,7,7,,,,,,,,,,,,,,,,,,,,,,2,22,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,2,Small,1,Tipula,7.5,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,2,Small,1,Oligochaeta,3,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,0.25,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,2,Small,1,Staphylinidae,,,,,,,,,,,,,,,,,,,,,,,,1,11,,adult,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,2,Small,1,Trichoptera,2,,,,,,,,,,,,,,,,,,,,,,,1,11,,,early instar,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,2,Small,1,Rhyacophila Coloradensis Group,2,4,,,,,,,,,,,,,,,,,,,,,,2,22,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,2,Small,1,Zapada,2,2.5,2.5,2,,,,,,,,,,,,,,,,,,,,4,43,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,2,Small,1,Diptera,,,,,,,,,,,,,,,,,,,,,,,,3,32,,adult,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,3,Large,1,Tipula,30,25,26,28,18,36,33,29,32,19,,,,,,,,,,,,,,10,108,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,3,Large,1,Cinygmula,7,4.5,9,8.5,9,8,5,7,6,7.5,7,8,6,8,5.5,8,7,9,,,,,,18,194,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,3,Large,1,Baetis,6,5,6,4,5,5.5,5,5,5,,,,,,,,,,,,,,,9,97,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,3,Large,1,Rhyacophila Sibirica Group,6,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,3,Large,1,Epeorus,6,6,7,7,7,7,6,5,7.5,6,7.5,7,7,8,6.5,8,6,7,7,6,,,,22,237,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,3,Large,1,Prosimuliium,7,8,6.5,7.5,8,,,,,,,,,,,,,,,,,,,5,54,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,3,Large,1,Non-Tanypodinae,2.75,6,5,7,4,4,5,7.5,4,4,4,,,,,,,,,,,,,11,118,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,3,Large,1,Simuliidae,,,,,,,,,,,,,,,,,,,,,,,,2,22,,pupae,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,3,Large,1,Sweltsa,4,5,6,5,,,,,,,,,,,,,,,,,,,,4,43,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,3,Large,1,Megarcys,4.5,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,3,Large,1,Probezzia,7.5,6.5,7,,,,,,,,,,,,,,,,,,,,,3,32,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,3,Small,1,Non-Tanypodinae,3,3,2,4,2.5,3,3,2.5,2.25,3,3,2.5,4.5,4,1.5,2.5,3,2,3,3,,,,82,883,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,3,Small,1,Baetis,4,4,3,5,5,4,3,3.5,,,,,,,,,,,,,,,,8,86,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,3,Small,1,Cinygmula,2.25,2,4,2.25,2.5,2.5,2,5,2.25,2.5,2.25,3,2,2.25,2,,,,,,,,,16,172,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,3,Small,1,Chironomidae,,,,,,,,,,,,,,,,,,,,,,,,2,22,,pupae,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,3,Small,1,Sweltsa,2,1.5,3,3,3,2.5,2.5,4.5,5,,,,,,,,,,,,,,,9,97,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,3,Small,1,Acari,1,1,,,,,,,,,,,,,,,,,,,,,,2,22,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,3,Small,1,Probezzia,6,8,,,,,,,,,,,,,,,,,,,,,,2,22,,,,,,,,,,,,,,,,,,,,,,,
2022,6-14 Aug 2022,Teton Range,Surber,SF Teton Creek,3,Small,1,Collembola,1.5,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,
