Stream,Name,Type,Site ,Year,Date,Area,Fraction,Sampler,NoSurbers,Rep,Taxa,Biomass,Abundance ,Density,Stage
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,1,Clinocera,3.1,3,32,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,2,Clinocera,14.33,4,43,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,2,Clinocera,25.16,6,65,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,3,Collembola,29.34,1,11,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,1,Dicranota,6.65,1,11,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,1,Drunella ,21.07,13,140,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,1,Drunella ,1.83,2,22,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,2,Drunella ,13.29,9,97,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,2,Drunella ,1.83,2,22,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,2,Epeorus,1.76,2,22,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,1,Helodon,0,7,75,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,1,Heterocloeon,0.37,1,11,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,1,Heterocloeon,4.45,4,43,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,2,Heterocloeon,3.34,3,32,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,2,Heterocloeon,1.35,2,22,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,3,Heterocloeon,3.03,5,54,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,3,Heterocloeon,3.77,5,54,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,3,Lednia,2.28,1,11,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,2,Chironomidae pupa,12.68,12,129,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,2,Chironomidae pupa,0.88,1,11,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,3,Chironomidae pupa,0.39,2,22,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,1,Non-Tanypodinae,14.67,138,1485,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,1,Non-Tanypodinae,11.47,316,3402,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,2,Non-Tanypodinae,35.5,180,1938,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,2,Non-Tanypodinae,31.14,537,5780,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,3,Non-Tanypodinae,0.39,3,32,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,3,Non-Tanypodinae,0.57,2,22,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,1,Oligochaeta,8.6,3,32,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,2,Oligochaeta,6.02,1,11,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,2,Oligochaeta,35.25,15,161,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,2,Rhyacophila ,49.56,2,22,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,1,Suwallia,35.35,1,11,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,1,Sweltsa,14.67,8,86,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,1,Sweltsa,2.9,3,32,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,2,Sweltsa,2.91,1,11,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,1,Tipula,28.34,1,11,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,1,Turbellaria,0.9,2,22,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,2,Turbellaria,2.55,3,32,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,2,Turbellaria,4.56,6,65,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,1,Twinnia,0.29,1,11,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,1,Zapada,41.78,33,355,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,1,Zapada,11.6,9,97,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,2,Zapada,9.95,5,54,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,2,Zapada,12.79,16,172,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,lg,surber,1,3,Zapada,9.62,6,65,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,,2017,12-Aug-17,GTNP,sm,surber,1,3,Zapada,6.21,2,22,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Oligochaeta,5.59,8,14,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Acari,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Staphylinidae,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Collembola,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Ostracoda,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Probezzia,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Non-Tanypodinae,2,19,34,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Chironomidae,0.09,1,2,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Dixella,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Clinocera,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Oreogeton,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Helodon,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Prosimulium,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Simuliidae,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Dicranota,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Ormosia,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Paradelphomyia,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Tipula,238.21,4,7,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Baetis,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Drunella ,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Cinygmula,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Epeorus,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Rhithrogena,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Macroveliidae,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Pentacora,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Nematoda,0.03,1,2,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Alloperla,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Suwallia,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Sweltsa,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Lednia,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Zapada,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Megarcys,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Megarcys2,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Allomyia,0.26,4,7,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Homophylax,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Psychoglypha,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Rhyacophila ,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Trichoptera,63.94,3,5,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,lg,surber,6,,Turbellaria,4.27,14,25,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Oligochaeta,158.89,36,517,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Acari,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Staphylinidae,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Collembola,39.12,1,14,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Ostracoda,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Probezzia,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Non-Tanypodinae,2.74,30,431,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Chironomidae,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Dixella,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Clinocera,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Oreogeton,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Helodon,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Prosimulium,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Simuliidae,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Dicranota,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Ormosia,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Paradelphomyia,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Tipula,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Baetis,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Drunella ,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Cinygmula,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Epeorus,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Rhithrogena,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Macroveliidae,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Pentacora,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Nematoda,0.25,1,14,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Alloperla,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Suwallia,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Sweltsa,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Lednia,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Zapada,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Megarcys,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Megarcys2,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Allomyia,0.18,1,14,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Homophylax,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Psychoglypha,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Rhyacophila ,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Trichoptera,0,0,0,larval
Alaska Basin North Rock Glacier,AKN,Icy Seep,NA,2016,2-Aug-16,GTNP,sm,surber,6,,Turbellaria,5.44,4,57,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,lg,surber,1,1,1Megarcys,190.65,1,11,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,lg,surber,1,1,2Megarcys,11.43,4,43,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,lg,surber,1,2,2Megarcys,1.9,1,11,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,sm,surber,1,2,2Megarcys,5.69,3,32,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,whole,surber,1,3,2Megarcys,3.79,2,22,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,lg,surber,1,1,Acari,12.74,1,11,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,sm,surber,1,1,Acari,12.74,1,11,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,sm,surber,1,2,Acari,101.9,8,86,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,ABW,whole,surber,1,3,Acari,191.07,15,161,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,lg,surber,1,2,Allomyia,9.98,1,11,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,ABW,whole,surber,1,3,Allomyia,1.15,1,11,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,lg,surber,1,1,Baetis,35.94,5,54,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,sm,surber,1,1,Baetis,4.36,3,32,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,lg,surber,1,2,Baetis,14.56,1,11,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,sm,surber,1,2,Baetis,1.45,1,11,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,whole,surber,1,3,Baetis,4.42,2,22,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,lg,surber,1,1,Cinygmula,35.39,3,32,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,sm,surber,1,1,Cinygmula,37.85,5,54,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,lg,surber,1,2,Cinygmula,67.46,7,75,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,sm,surber,1,2,Cinygmula,58.99,5,54,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,whole,surber,1,3,Cinygmula,58.99,5,54,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,whole,surber,1,3,Clinocera,1.03,1,11,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,sm,surber,1,1,Heterocloeon,0.74,2,22,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,lg,surber,1,2,Heterocloeon,11.16,1,11,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,lg,surber,1,1,Non-Tanypodinae,5,61,657,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,sm,surber,1,1,Non-Tanypodinae,12.82,196,2110,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,lg,surber,1,2,Non-Tanypodinae,16.21,132,1421,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,sm,surber,1,2,Non-Tanypodinae,11.02,190,2045,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,whole,surber,1,3,Non-Tanypodinae,18.18,210,2260,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,lg,surber,1,1,Oligochaeta,14.62,5,54,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,sm,surber,1,2,Oligochaeta,18.92,9,97,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,ABW,whole,surber,1,3,Oligochaeta,19.78,7,75,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,lg,surber,1,2,Pomoleuctra,0,1,11,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,sm,surber,1,1,Rhyacophila,5.77,1,11,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,lg,surber,1,2,Sweltsa,26.53,1,11,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,sm,surber,1,2,Sweltsa,2.91,1,11,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,lg,surber,1,1,Turbellaria,2.55,3,32,larval
Alaska Basin South Rock Glacier,AKS,Icy Seep,NA,2018,31-Aug-18,GTNP,sm,surber,1,1,Turbellaria,0.56,3,32,larval
