Year,Park,Sampler,Stream,Rep,Fraction,Taxa,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,MeanLength(mm),IndBiomass(mg/ind),Subsample,Abundance ,Density,Biomass (mg/m2),Stage,Notes,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20
2020,GRTE,Surber,Middle Teton,1,Small,Chironomidae Pupae,4.5,3.5,,,,,,,,,,,,,,,,,,,4,,,2,22,0,Pupae,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Middle Teton,1,Large,Clinocera,7,7,6.25,,,,,,,,,,,,,,,,,,6.8,0.69,,3,32,22.33,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Middle Teton,1,Large,Non-Tanypodinae,4.75,5,7.5,6,7.5,4.5,6.5,6,4,5,6,2.75,5.25,7,4,2.5,6,5,4,5,5.2,0.06,,54,581,32.1,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Middle Teton,1,Large,Chironomidae Adult,3.25,,,,,,,,,,,,,,,,,,,,3.3,,,1,11,0,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Paintbrush RG,3,Small,Non-Tanypodinae,4,3,4,2.5,4.5,4.25,3,4,5.5,3,3,4,4,4,3.75,4,2.25,2.75,2.75,3.5,3.6,0.02,,226,2433,47.72,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Paintbrush RG,3,Small,Oligochaeta,2.5,3.5,,,,,,,,,,,,,,,,,,,3,0.24,,2,22,5.16,,,0.25,0.25,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Paintbrush RG,3,Small,Prosimuliium,4.5,5,,,,,,,,,,,,,,,,,,,4.8,0.26,,2,22,5.49,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Paintbrush RG,3,Small,Chironomidae Pupae,4,,,,,,,,,,,,,,,,,,,,4,,,1,11,0,Pupae,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Paintbrush RG,3,Large,Homophylax,13,14,,,,,,,,,,,,,,,,,,,13.5,8.26,,2,22,177.88,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Paintbrush RG,3,Large,Prosimuliium,6,6.75,6.5,6.75,6,5,6.75,,,,,,,,,,,,,,6.3,0.51,,7,75,38.71,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Paintbrush RG,3,Large,Non-Tanypodinae,3,2.75,4,5,3.5,4.5,1.75,1.5,4,4,3,3,4,6,5,4,6.25,3.25,5,5,3.9,0.03,,56,603,15.17,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Paintbrush RG,3,Large,Chironomidae Pupae,3.25,,,,,,,,,,,,,,,,,,,,3.3,,,1,11,0,Pupae,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Paintbrush RG,3,Large,Oligochaeta,5.5,5,3,,,,,,,,,,,,,,,,,,4.5,0.36,,3,32,11.61,,,0.25,0.25,0.25,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Paintbrush RG,2,Small,Non-Tanypodinae,3.25,2.5,2.5,3.5,3.25,4.5,3.5,3,3,4,2.75,4,3.5,4,6.5,4,4.5,3.25,3,2.25,3.5,0.02,,694,7470,140.96,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Paintbrush RG,2,Small,Oligochaeta,4,5,6,,,,,,,,,,,,,,,,,,5,0.4,,3,32,12.9,,,0.25,0.25,0.25,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Paintbrush RG,2,Small,Helodon,3.25,,,,,,,,,,,,,,,,,,,,3.3,0.1,,1,11,1.04,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Paintbrush RG,2,Large,Non-Tanypodinae,6,4,5,3,5.25,6,5,3.5,6.5,5,5.25,6,4,7,5.5,3,5,7,8,5,5.3,0.06,,130,1399,78.82,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Paintbrush RG,2,Large,Oligochaeta,4,,,,,,,,,,,,,,,,,,,,4,0.32,,1,11,3.44,,,0.25,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Paintbrush RG,1,Small,Non-Tanypodinae,2.75,4,3.75,3,2.5,3,3.5,3.5,3.25,3,3,4,2.75,1.5,4,3.5,2,1.75,3,2,3,0.01,,49,527,6.23,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Paintbrush RG,1,Small,Chironomidae Adult,2.5,,,,,,,,,,,,,,,,,,,,2.5,,,1,11,0,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Paintbrush RG,1,Large,Non-Tanypodinae,5.5,3,3.5,7,4.75,4,4.5,3.5,4.25,,,,,,,,,,,,4.4,0.04,,9,97,3.44,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,NF Teton Creek,3,Small,Non-Tanypodinae,5.5,2,3.75,3,3.75,3.5,2,4,2.25,3,2.25,3.5,3,3,3.5,2,5,4,3,4,3.3,0.02,,100,1076,16.75,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,NF Teton Creek,3,Small,Chironomidae Adult,,,,,,,,,,,,,,,,,,,,,,,,1,11,0,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,NF Teton Creek,3,Small,Prosimuliium,3.25,,,,,,,,,,,,,,,,,,,,3.3,0.1,,1,11,1.04,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,NF Teton Creek,3,Large,Non-Tanypodinae,4,4,2.5,2,5,5,4.75,2.25,5,5,3,5,3.5,3.5,1,,,,,,3.7,0.02,,15,161,3.45,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,NF Teton Creek,3,Large,Rhyacophila Coloradensis Group,10,,,,,,,,,,,,,,,,,,,,10,2.99,,1,11,32.18,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,NF Teton Creek,2,Small,Zapada,3.75,,,,,,,,,,,,,,,,,,,,3.8,0.18,,1,11,1.92,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,NF Teton Creek,2,Small,1Megarcys,4.5,,,,,,,,,,,,,,,,,,,,4.5,0.52,,1,11,5.57,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,NF Teton Creek,2,Small,Non-Tanypodinae,3.5,2.5,4.5,1.5,5,3.5,3,3,4,1.75,3.5,2.25,4,2.25,5,3,2.75,4,2.25,5,3.3,0.02,,54,581,9.14,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,NF Teton Creek,2,Small,Dicranota,8,,,,,,,,,,,,,,,,,,,,8,0.62,,1,11,6.65,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,NF Teton Creek,2,Small,Chironomidae Adult,4,2.5,1.75,,,,,,,,,,,,,,,,,,2.8,,,3,32,0,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,NF Teton Creek,2,Small,Prosimuliium,3.5,5,,,,,,,,,,,,,,,,,,,4.3,0.19,,2,22,4.14,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,NF Teton Creek,2,Small,Chironomidae Pupae,2.75,,,,,,,,,,,,,,,,,,,,2.8,,,1,11,0,Pupae,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,NF Teton Creek,2,Large,Non-Tanypodinae,4.5,4.5,3.5,,,,,,,,,,,,,,,,,,4.2,0.03,,3,32,0.96,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,NF Teton Creek,1,Small,1Megarcys,4.5,4.5,,,,,,,,,,,,,,,,,,,4.5,0.52,,2,22,11.14,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,NF Teton Creek,1,Small,Prosimuliium,4.5,4,5,4.5,4,,,,,,,,,,,,,,,,4.4,0.21,,5,54,11.3,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,NF Teton Creek,1,Small,Non-Tanypodinae,3,3,3,3,3,3.25,3,,,,,,,,,,,,,,3,0.01,,7,75,0.93,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,NF Teton Creek,1,Small,Chironomidae Adult,2,2.25,2.5,,,,,,,,,,,,,,,,,,2.3,,,3,32,0,Adult,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,NF Teton Creek,1,Large,Non-Tanypodinae,7,7,4,,,,,,,,,,,,,,,,,,6,0.08,,3,32,2.63,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,NF Teton Creek,1,Large,Prosimuliium,5,,,,,,,,,,,,,,,,,,,,5,0.29,,1,11,3.13,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Wind Cave,3,Small,Non-Tanypodinae,4,2.75,3.25,2,2.5,2.5,2,3.25,2,2.5,3,2.5,2,6,3,2,6,2.25,2.25,3.25,3,0.01,,217,2336,26.65,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Wind Cave,3,Small,Zapada,3,2.5,3,2.5,2,5,4,1.75,2.5,,,,,,,,,,,,2.9,0.09,,9,97,8.93,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Wind Cave,3,Small,1Megarcys,6,,,,,,,,,,,,,,,,,,,,6,1.11,,1,11,11.97,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Wind Cave,3,Small,Chironomidae Pupae,3.5,3.25,4,,,,,,,,,,,,,,,,,,3.6,,,3,32,0,Pupae,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Wind Cave,3,Large,Zapada,2.25,3.5,,,,,,,,,,,,,,,,,,,2.9,0.09,,2,22,1.91,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Wind Cave,3,Large,Chironomidae Pupae,3,5.25,,,,,,,,,,,,,,,,,,,4.1,,,2,22,0,Pupae,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Wind Cave,3,Large,Non-Tanypodinae,3.5,6,5.5,3,6.5,5,2.5,5,5.25,3.5,4.25,7,6.5,2,3,6,6.5,4,8,7,5,0.05,,70,753,37.08,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Wind Cave,3,Large,Rhyacophila Rotunda Group,5,,,,,,,,,,,,,,,,,,,,5,0.54,,1,11,5.77,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Wind Cave,2,Small,Non-Tanypodinae,3.75,6,2.25,3.75,1.75,3.25,2.75,2.5,3.5,3,3,4,2.25,3,3.5,3,3,4,,,3.2,0.01,,18,194,2.86,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Wind Cave,2,Small,Zapada,2,2.25,2.75,4,4,1.5,,,,,,,,,,,,,,,2.8,0.08,,6,65,5.1,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Wind Cave,2,Small,1Megarcys,4,,,,,,,,,,,,,,,,,,,,4,0.38,,1,11,4.07,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Wind Cave,2,Small,Chironomidae Adult,4,,,,,,,,,,,,,,,,,,,,4,,,1,11,0,Adult,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Wind Cave,2,Large,1Megarcys,6,7,6,5,4.5,7,6,,,,,,,,,,,,,,5.9,1.08,,9,97,104.34,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Wind Cave,2,Large,Non-Tanypodinae,3.5,4.75,6.25,5,5,,,,,,,,,,,,,,,,4.9,0.05,,5,54,2.5,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Wind Cave,2,Large,Rhyacophila Rotunda Group,11.5,,,,,,,,,,,,,,,,,,,,11.5,4.23,,1,11,45.51,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Wind Cave,2,Large,Zapada,4,,,,,,,,,,,,,,,,,,,,4,0.21,,1,11,2.28,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Wind Cave,1,Small,1Megarcys,5.5,6,6.5,6,5,4.5,4,4.25,5,3.5,4.25,5.25,4.5,5,5,4,2,5.25,4.25,5,4.7,0.59,,26,280,166.07,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Wind Cave,1,Small,Non-Tanypodinae,3,2,2,2.5,2,3,7,3.75,4,3.75,2.25,1.75,4,4,1.75,2.25,3.25,2,4.25,9,3.4,0.02,,49,527,8.74,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Wind Cave,1,Small,Chironomidae Adult,4,2,1.5,2.25,,,,,,,,,,,,,,,,,2.4,,,4,43,0,Adult,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Wind Cave,1,Small,Chironomidae Pupae,4,,,,,,,,,,,,,,,,,,,,4,,,1,11,0,Pupae,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Wind Cave,1,Small,Zapada,3.25,4.25,2.5,4.25,3.25,4.5,2.5,2.25,3,2,3,2.25,3,1.5,3.5,2,2.25,4,3,2,2.9,0.09,,60,646,59.28,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Wind Cave,1,Small,Acari,0.25,,,,,,,,,,,,,,,,,,,,0.3,0.02,,1,11,0.2,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Wind Cave,1,Small,Rhyacophila Rotunda Group,8,4,,,,,,,,,,,,,,,,,,,6,0.84,,2,22,18.13,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Wind Cave,1,Large,1Megarcys,6,5.5,6,6,7,5.5,6,7,6.75,6,5.5,5.5,5.5,4.5,5.5,5,6,6.25,7,6,5.9,1.08,,49,527,567.17,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Wind Cave,1,Large,Non-Tanypodinae,3.5,8,7,7.75,,,,,,,,,,,,,,,,,6.6,0.1,,4,43,4.5,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Wind Cave,1,Large,Zapada,5.5,5,5,6,4,5,,,,,,,,,,,,,,,5.1,0.4,,6,65,25.69,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Cloudveil,3,Small,Non-Tanypodinae,3.5,4,6,6.5,2.5,5,3.75,3.5,3.25,3,2.75,3,3.5,3,5.25,1.5,1.5,3,2.5,4,3.6,0.02,,110,1184,22.56,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Cloudveil,3,Small,Lednia,4,3.5,,,,,,,,,,,,,,,,,,,3.8,0.18,,2,22,3.84,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Cloudveil,3,Large,Homophylax,16,,,,,,,,,,,,,,,,,,,,16,13.37,,1,11,143.9,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Cloudveil,3,Large,Lednia,5.5,6,5.5,4.5,,,,,,,,,,,,,,,,,5.4,0.46,,5,54,24.8,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Cloudveil,3,Large,Non-Tanypodinae,5.5,5,3,4.75,3.75,5,5.5,4.5,5,6.5,5,5.5,5,5.25,4.5,6.75,4.5,5,4,7,5.1,0.05,,29,312,15.79,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Cloudveil,3,Large,Chironomidae Adult,3,,,,,,,,,,,,,,,,,,,,3,,,1,11,0,Adult,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Cloudveil,2,Small,Lednia,5,5,,,,,,,,,,,,,,,,,,,5,0.38,,2,22,8.2,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Cloudveil,2,Small,Non-Tanypodinae,5,4.5,2,2,2.75,2.5,2.5,2,1.25,3,4,2.75,3,1.25,1.75,3,3.75,3.5,3,2.25,2.8,0.01,,46,495,4.83,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Cloudveil,2,Large,Non-Tanypodinae,6,5.5,5.25,2.5,6,5.5,5.5,6,6,3,4.5,3,5.75,5,3,4.5,,,,,4.8,0.04,,16,172,7.62,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Cloudveil,1,Small,Lednia,3.75,3.5,,,,,,,,,,,,,,,,,,,3.6,0.16,,2,22,3.52,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Cloudveil,1,Small,Non-Tanypodinae,2.25,2.5,3.5,2.25,5,1.75,2,4,2.5,3.5,2.5,2.25,2.25,2.5,4,4.25,2.5,3.75,2.5,1.75,2.9,0.01,,43,463,4.92,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Cloudveil,1,Small,Chrionomidae Pupae,2.25,,,,,,,,,,,,,,,,,,,,2.3,,,1,11,0,Pupae,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Cloudveil,1,Large,Non-Tanypodinae,4.5,3,4.25,3,3.5,3.5,,,,,,,,,,,,,,,3.6,0.02,,6,65,1.3,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Cloudveil,1,Large,Dicranota,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,1,11,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,3,Small,Zapada,2.75,2,5,3,4.25,5,,,,,,,,,,,,,,,3.7,0.17,,6,65,10.87,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,3,Small,Lednia,3.25,5,,,,,,,,,,,,,,,,,,,4.1,0.23,,3,32,7.41,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,3,Small,Non-Tanypodinae,5,5.25,5.25,5.5,4.25,3,4.5,2.75,3,4.5,3.5,2,3.5,3,3,5,3,2.5,4,2.5,3.8,0.02,,64,689,15.28,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,3,Small,Chrionomidae Pupae,3,2,2.25,3,3,3.25,3.5,,,,,,,,,,,,,,2.9,,,7,75,0,Pupae,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,3,Small,Chrionomidae Adult,3,3.25,3,,,,,,,,,,,,,,,,,,3.1,,,3,32,0,Adult,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,3,Large,Zapada,6.5,5,7,6.5,5.5,2.5,6,5.5,6,6.5,6.5,3.25,,,,,,,,,5.6,0.5,,12,129,65.14,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,3,Large,Lednia,6.25,6,6,6,5.75,5,5.25,,,,,,,,,,,,,,5.8,0.55,,7,75,41.46,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,3,Large,Non-Tanypodinae,7,5,8.5,7,8.5,10,4,7,2.5,6.5,6,8,8,10,6,9.5,6.5,5,6,5.75,6.8,0.12,,47,506,59.24,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,3,Large,Chironomidae Adult,3.5,3,4,,,,,,,,,,,,,,,,,,3.5,,,3,32,0,Adult,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,3,Large,1Megarcys,6.25,,,,,,,,,,,,,,,,,,,,6.3,1.24,,1,11,13.34,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,3,Large,Chironomidae Pupae,5,,,,,,,,,,,,,,,,,,,,5,,,1,11,0,Pupae,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,3,Large,Allomyia,6,,,,,,,,,,,,,,,,,,,,6,0.38,,1,11,4.07,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,2,Small,Zapada,2.5,2.25,4,4.5,3,3.5,2.5,3,5.5,5.25,2.5,4,2.25,3.5,3,4.5,3,4.75,3,4,3.5,0.15,,24,258,39.19,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,2,Small,Non-Tanypodinae,5,3,2,4.5,3.5,3,4.5,4,4.5,4.5,3,4.5,2.75,2,6,5.25,3.5,3.25,4.5,3.5,3.8,0.02,,202,2174,51.41,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,2,Small,Chironomidae Pupae,2.25,2.25,4,3,2.5,2.75,3.5,2.5,3,3,3,2.75,3.25,2.5,2.75,3.25,2.25,3,2.25,,2.8,,,19,205,0,Pupae,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,2,Small,Lednia,6,,,,,,,,,,,,,,,,,,,,6,0.62,,1,11,6.63,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,2,Small,1Megarcys,5.5,,,,,,,,,,,,,,,,,,,,5.5,0.88,,1,11,9.5,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,2,Small,Baetis,4.75,,,,,,,,,,,,,,,,,,,,4.8,0.47,,1,11,5.07,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,2,Small,Heterocloeon,3.25,3.25,,,,,,,,,,,,,,,,,,,3.3,0.13,,2,22,2.77,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,2,Small,Prosimuliium,5.5,6,4.5,,,,,,,,,,,,,,,,,,5.3,0.34,,3,32,11.07,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,2,Small,Dicranota,6.5,,,,,,,,,,,,,,,,,,,,6.5,0.36,,1,11,3.84,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,2,Small,Clinocera,3.25,,,,,,,,,,,,,,,,,,,,3.3,0.12,,1,11,1.25,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,2,Large,Zapada,6,7,7,3,6.5,5,6,5,6,5,4.75,7,5.5,6,5.5,4.5,6,3,5,5,5.4,0.47,,81,872,414.13,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,2,Large,Heterocloeon,3.5,3.25,,,,,,,,,,,,,,,,,,,3.4,0.14,,2,22,3.07,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,2,Large,Lednia,4.5,5,5.75,6,6,5.25,5,5.25,6,5.5,5,6,5.5,,,,,,,,5.4,0.48,,13,140,66.62,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,2,Large,Non-Tanypodinae,5,7,4,6,8,6,2.5,4.25,5.75,7.5,3.5,4,7,6,8,5,7,5.5,7.5,5,5.7,0.07,,226,2433,174.18,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,2,Large,1Megarcys,6,,,,,,,,,,,,,,,,,,,,6,1.11,,1,11,11.97,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,2,Large,Chironomidae Pupae,3,3,3,4.5,3,2.5,,,,,,,,,,,,,,,3.2,,,7,75,0,Pupae,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,2,Large,Chironomidae Adult,3.5,2.75,,,,,,,,,,,,,,,,,,,3.1,,,2,22,0,Adult,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,2,Large,Prosimuliium,8,,,,,,,,,,,,,,,,,,,,8,0.96,,1,11,10.38,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,2,Large,Acari,1.25,,,,,,,,,,,,,,,,,,,,1.3,2.31,,1,11,24.88,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,2,Large,Agathon,5,,,,,,,,,,,,,,,,,,,,5,1.28,,1,11,13.78,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,1,Small,Zapada,7.5,3.25,5,3.5,3.75,5,3.5,4,5,5,5.5,5.25,2.75,5.5,5.5,6,3,2.25,2.75,5,4.5,0.28,,112,1206,337.83,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,1,Small,Lednia,5.5,5,5.5,5.5,6,6,5,,,,,,,,,,,,,,5.5,0.49,,7,75,36.88,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,1,Small,Heterocloeon,3,,,,,,,,,,,,,,,,,,,,3,0.1,,1,11,1.11,,,,,,,,,,,,,,,,,,,,,,
