Year,Date,Range,Sampler,Stream,Rep,Fraction,Subsample,Taxa,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,MeanLength(mm),IndBiomass(mg/ind),Subsample,MeanLength_mm,Abundance ,Density,Biomass_mg_m2,Stage,Notes,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20
2023,6-14 Aug 2023,Teton Range,Surber,Middle Teton,2,Small,1,Non-Tanypodinae,6,1,3,2,1,5,2,1.5,1.5,2,1,1.5,2.5,3,1.5,3,3,2,2,1.5,,,,2.3,306,3294,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Middle Teton,2,Small,1,Prosimuliium,1.5,,,,,,,,,,,,,,,,,,,,,,,1.5,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Middle Teton,2,Small,1,Chironomidae,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,2,22,,pupae,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Middle Teton,2,Small,1,Oligochaeta,2,,,,,,,,,,,,,,,,,,,,,,,2,1,11,,,,0.25,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Middle Teton,2,Large,1,Non-Tanypodinae,6,4,3,7,2,7,6,2,2.5,5,1.5,5.5,6,5,2.5,2,2.5,3,4,4,,,,4,102,1098,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Middle Teton,2,Large,1,Chironomidae,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,1,11,,pupae,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Middle Teton,2,Large,1,Homophylax,4,,,,,,,,,,,,,,,,,,,,,,,4,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Middle Teton,3,Small,1,Non-Tanypodinae,1,2.5,2,1.5,3.5,3,1,1,2,1.5,1,1,2,1.5,4.5,4,3,2,2,1.5,,,,2.1,801,8622,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Middle Teton,3,Small,1,Prosimuliium,3,3,,,,,,,,,,,,,,,,,,,,,,3,2,22,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Middle Teton,3,Large,1,Non-Tanypodinae,8,5,3,4,9,5,3,4,3,6,2,2.5,3.5,5,4,7,4,6,8,3,,,,4.8,191,2056,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Middle Teton,3,Large,1,Dicranota,7,,,,,,,,,,,,,,,,,,,,,,,7,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Middle Teton,3,Large,1,Prosimuliium,4.5,,,,,,,,,,,,,,,,,,,,,,,4.5,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,NF Teton Creek,1,Small,1,Non-Tanypodinae,3,3.5,3.5,4,6.5,4.5,5,2,1.5,4.5,4,4.5,3,2,4.5,3,3,2,3,4,,,,3.6,365,3929,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,NF Teton Creek,1,Small,1,Dicranota,7.5,,,,,,,,,,,,,,,,,,,,,,,7.5,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,NF Teton Creek,1,Small,1,Megarcys,5,,,,,,,,,,,,,,,,,,,,,,,5,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,NF Teton Creek,1,Small,1,Chironomidae,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,3,32,,pupae,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,NF Teton Creek,1,Small,1,Prosimuliium,5.5,,,,,,,,,,,,,,,,,,,,,,,5.5,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,NF Teton Creek,1,Small,1,Rhyacophila Alberta Group,7,,,,,,,,,,,,,,,,,,,,,,,7,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,NF Teton Creek,1,Small,1,Rhyacophila Rotunda Group,4,,,,,,,,,,,,,,,,,,,,,,,4,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,NF Teton Creek,1,Large,1,Megarcys,6,6,,,,,,,,,,,,,,,,,,,,,,6,2,22,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,NF Teton Creek,1,Large,1,Rhyacophila Verrula Group,10,,,,,,,,,,,,,,,,,,,,,,,10,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,NF Teton Creek,1,Large,1,Non-Tanypodinae,5,7,6,1.5,7,7,4,4,5,5,7,5,4,4,7,8,6,4,3,6,,,,5.3,52,560,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,NF Teton Creek,1,Large,1,Rhyacophila Alberta Group,10,10,,,,,,,,,,,,,,,,,,,,,,10,2,22,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,NF Teton Creek,1,Large,1,Dicranota,9,,,,,,,,,,,,,,,,,,,,,,,9,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,NF Teton Creek,1,Large,1,Prosimuliium,7,,,,,,,,,,,,,,,,,,,,,,,7,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,NF Teton Creek,2,Small,1,Non-Tanypodinae,3.5,4.5,3,6,2,3,1.5,3.5,4.5,4.5,4.5,5,4,4,3,2,1.5,1,1,2.5,,,,3.2,356,3832,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,NF Teton Creek,2,Small,1,Chironomidae,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,1,11,,pupae,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,NF Teton Creek,2,Small,1,Collembola,1.5,,,,,,,,,,,,,,,,,,,,,,,1.5,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,NF Teton Creek,2,Small,1,Rhyacophila Rotunda Group,3,,,,,,,,,,,,,,,,,,,,,,,3,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,NF Teton Creek,2,Large,1,Homophylax,7,,,,,,,,,,,,,,,,,,,,,,,7,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,NF Teton Creek,2,Large,1,Non-Tanypodinae,6,7,5,5,6,5,5.5,5,4,5,5,7,6,4.5,7,5,5.5,3,6,7,,,,5.5,52,560,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,NF Teton Creek,2,Large,1,Prosimuliium,7,7.5,,,,,,,,,,,,,,,,,,,,,,7.3,2,22,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,NF Teton Creek,2,Large,1,Rhyacophila Verrula Group,8.5,,,,,,,,,,,,,,,,,,,,,,,8.5,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,NF Teton Creek,3,Small,1,Non-Tanypodinae,3,2,5,4,5.5,1.5,2,4,5,1.5,1.5,2,3,2,2.5,4.5,5,4,4.5,4,,,,3.3,337,3628,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,NF Teton Creek,3,Small,1,Prosimuliium,6.5,6,6.5,,,,,,,,,,,,,,,,,,,,,6.3,3,32,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,NF Teton Creek,3,Small,1,Oligochaeta,5,,,,,,,,,,,,,,,,,,,,,,,5,1,11,,,,0.25,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,NF Teton Creek,3,Small,1,Megarcys,3.5,,,,,,,,,,,,,,,,,,,,,,,3.5,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,NF Teton Creek,3,Large,1,Non-Tanypodinae,3,6,7,7,7,6.5,6,5.5,5.5,5,6.5,5,4,6.5,5.5,2.5,7,5,4.5,5,,,,5.5,42,452,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,NF Teton Creek,3,Large,1,Megarcys,5,,,,,,,,,,,,,,,,,,,,,,,5,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,NF Teton Creek,3,Large,1,Rhyacophila Verrula Group,9,10,,,,,,,,,,,,,,,,,,,,,,9.5,2,22,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,NF Teton Creek,3,Large,1,Rhyacophila Alberta Group,9,,,,,,,,,,,,,,,,,,,,,,,9,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,NF Teton Creek,3,Large,1,Prosimuliium,7,,,,,,,,,,,,,,,,,,,,,,,7,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Delta Lake Inlet,1,Small,1,Non-Tanypodinae,3,3,3,2,2,2.5,3,3,6,2.5,2.5,6.5,2.5,2,3,3,1,8,3,2,,,,3.2,586,6308,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Delta Lake Inlet,1,Small,1,Chironomidae,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,8,86,,pupae,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Delta Lake Inlet,1,Small,1,Oligochaeta,3,2.5,2,2,2.5,1.5,3,3.5,3,1.5,3,2,2,3,2,1.5,3,1.5,1.5,5,,,,2.5,85,915,,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
2023,6-14 Aug 2023,Teton Range,Surber,Delta Lake Inlet,1,Small,1,Baetis,3.5,2,,,,,,,,,,,,,,,,,,,,,,2.8,2,22,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Delta Lake Inlet,1,Small,1,Clinocera,2,,,,,,,,,,,,,,,,,,,,,,,2,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Delta Lake Inlet,1,Small,1,Hyalella,2,,,,,,,,,,,,,,,,,,,,,,,2,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Delta Lake Inlet,1,Large,1,Non-Tanypodinae,8,2.5,6,6.5,5,5,6.5,7.5,5.5,5.5,5,2,9,6,3,7,5,5,6,5,,,,5.6,116,1249,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Delta Lake Inlet,1,Large,1,Baetis,4,,,,,,,,,,,,,,,,,,,,,,,4,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Delta Lake Inlet,1,Large,1,Lednia,5,6,,,,,,,,,,,,,,,,,,,,,,5.5,2,22,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Delta Lake Inlet,1,Large,1,Megarcys,6,,,,,,,,,,,,,,,,,,,,,,,6,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Delta Lake Inlet,1,Large,1,Dicranota,8,,,,,,,,,,,,,,,,,,,,,,,8,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Delta Lake Inlet,1,Large,1,Nematoda,9,,,,,,,,,,,,,,,,,,,,,,,9,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Delta Lake Inlet,2,Small,1,Non-Tanypodinae,3,3,2.5,3,2,4,2.5,3,5,4,3,5.5,2,2.5,2,3,1.5,2,2,1.5,,,,2.9,647,6964,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Delta Lake Inlet,2,Small,1,Chironomidae,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,13,140,,pupae,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Delta Lake Inlet,2,Small,1,Chironomidae,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,1,11,,adult,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Delta Lake Inlet,2,Small,1,Baetis,4,,,,,,,,,,,,,,,,,,,,,,,4,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Delta Lake Inlet,2,Small,1,Oligochaeta,3,1,3,3,3.5,,,,,,,,,,,,,,,,,,,2.7,5,54,,,,0.25,0.25,0.25,0.25,0.25,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Delta Lake Inlet,2,Large,1,Non-Tanypodinae,5,6,3,3,8.5,6,4,7,5,3.5,5,7,5,5,6,5,3,4,6,7.5,,,,5.2,106,1141,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Delta Lake Inlet,2,Large,1,Megarcys,4,3,5,,,,,,,,,,,,,,,,,,,,,4,3,32,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Delta Lake Inlet,2,Large,1,Chironomidae,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,1,11,,pupae,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Delta Lake Inlet,3,Small,1,Non-Tanypodinae,4.5,3.5,5,4,3,5,5.5,1.5,1.5,3,3,3.5,5,3.5,3.5,5.5,3,2,2,2,,,,3.5,529,5694,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Delta Lake Inlet,3,Small,1,Oligochaeta,2,2,2.5,2,2.5,1.5,2,2,2.5,2,3.5,2,2,1.5,1,3,1,2,3,2.5,,,,2.1,116,1249,,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
2023,6-14 Aug 2023,Teton Range,Surber,Delta Lake Inlet,3,Small,1,Chironomidae,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,5,54,,pupae,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Delta Lake Inlet,3,Small,1,Zapada,4,3.5,2.5,,,,,,,,,,,,,,,,,,,,,3.3,3,32,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Delta Lake Inlet,3,Large,1,Non-Tanypodinae,8,3.5,8,5,5,7,3,6,4.5,5,5,3,5,9,7,5,9,8,4.5,7,,,,5.9,75,807,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Delta Lake Inlet,3,Large,1,Megarcys,5,,,,,,,,,,,,,,,,,,,,,,,5,1,11,,,,,,,,,,,,,,,,,,,,,,,
2023,6-14 Aug 2023,Teton Range,Surber,Delta Lake Inlet,3,Large,1,Chironomidae,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,1,11,,pupae,,,,,,,,,,,,,,,,,,,,,
